countryCode,name,toponymName
PE,아마소나스주,Amazonas
PE,Puno,Puno
PE,파스코주,Pasco
PE,리마주,Lima
PE,아야쿠초주,Ayacucho
PE,아레키파주,Arequipa
PE,람바예케주,Lambayeque
PE,타크나주,Tacna
PE,리마군,Provincia de Lima
PE,우앙카벨리카주,Huancavelica
PE,아푸리막주,Región de Apurímac
PE,산마르틴주,Región de San Martín
PE,피우라주,Piura
PE,로레토주,Loreto
PE,툼베스주,Tumbes
PE,Callao,Callao
PE,모케과주,Departamento de Moquegua
PE,마드레데디오스주,Madre de Dios
PE,후닌주,Junín
PE,이카주,Ica
TR,삼순주,Samsun
TR,오르두주,Ordu
TR,Düzce,Düzce
TR,토카트주,Tokat
TR,코자엘리주,Kocaeli
TR,키르클라렐리주,Kırklareli
TR,카스타모누주,Kastamonu
TR,카르스주,Kars
TR,이스탄불주,İstanbul
TR,시노프주,Sinop
TR,사카리아주,Sakarya
TR,리제주,Rize
TR,바르틴주,Bartın
TR,카라뷔크주,Karabük
TR,얄로바주,Yalova
TR,아르다한주,Ardahan
TR,바이부르트주,Bayburt
TR,초룸주,Çorum
TR,창키리주,Çankırı
TR,차나칼레주,Çanakkale
TR,부르사주,Bursa
TR,볼루주,Bolu
TR,아르트빈주,Artvin
TR,아마시아주,Amasya
TR,귀뮈샤네주,Gümüşhane
TR,기레순주,Giresun
TR,에디르네주,Edirne
TR,종굴다크주,Zonguldak
TR,트라브존주,Trabzon
TR,테키르다주,Tekirdağ
TR,안탈리아 주,Antalya
TR,앙카라주,Ankara
TR,아리 주,Ağrı
TR,아피온카라히사르주,Afyonkarahisar
TR,아디야만주,Adıyaman
TR,아다나 주,Adana
TR,비틀리스주,Bitlis
TR,빙괼주,Bingöl
TR,빌레지크주,Bilecik
TR,발리케시르주,Balıkesir
TR,아이든주,Aydın
TR,오스마니예주,Osmaniye
TR,이디르주,Iğdır
TR,악사라이주,Aksaray
TR,바트만주,Batman
TR,카라만주,Karaman
TR,키리칼레주,Kırıkkale
TR,시르나크주,Şırnak
TR,킬리스주,Kilis
TR,카흐라만마라슈주,Kahramanmaraş
TR,이즈미르주,İzmir
TR,이스파르타주,Isparta
TR,메르신주,Mersin
TR,코니아주,Konya
TR,키르셰히르주,Kırşehir
TR,카이세리주,Kayseri
TR,시바스주,Sivas
TR,시이르트주,Siirt
TR,부르두르주,Burdur
TR,가지안테프주,Gaziantep
TR,에스키셰히르주,Eskişehir
TR,에르주룸주,Erzurum
TR,에르진잔주,Erzincan
TR,엘라지주,Elâzığ
TR,디야르바키르주,Diyarbakır
TR,데니즐리주,Denizli
TR,니데주,Niğde
TR,네브셰히르주,Nevşehir
TR,무슈주,Muş
TR,물라 주,Muğla
TR,마르딘주,Mardin
TR,마니사주,Manisa
TR,말라티아주,Malatya
TR,퀴타히아주,Kütahya
TR,하타이주,Hatay
TR,하카리주,Hakkari
TR,반주,Van
TR,우샤크주,Uşak
TR,샨리우르파주,Şanlıurfa
TR,툰젤리주,Tunceli
TR,요즈가트주,Yozgat
AF,헤라트주,Herāt
AF,헬만드주,Helmand
AF,구르주,Wilāyat-e Ghōr
AF,가즈니주,Wilāyat-e Ghaznī
AF,Wilāyat-e Nīmrōz,Wilāyat-e Nīmrōz
AF,칸다하르주,Kandahār
AF,파르야브주,Faryab Province
AF,파라주,Farāh
AF,바다흐샨주,Badakhshān
AF,로가르주,Wilāyat-e Lōgar
